dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
1,0.2,0.1,0.23834,0.25368,0.25938,0.2486
,,,,,,
1,0.6,0.1,0.24082,0.24989,0.25684,0.25245
,,,,,,
1,1,0.1,0.23927,0.24227,0.26015,0.25831
,,,,,,
1,0.2,0.4,0.21675,0.27047,0.28338,0.2294
,,,,,,
1,0.6,0.4,0.21769,0.241,0.28448,0.25683
,,,,,,
1,1,0.4,0.21717,0.21734,0.28405,0.28144
,,,,,,
1,0.2,0.7,0.19089,0.2836,0.31043,0.21508
,,,,,,
1,0.6,0.7,0.1908,0.24025,0.30829,0.26066
,,,,,,
1,1,0.7,0.19207,0.19289,0.30768,0.30736
,,,,,,
2,0.2,0.1,0.24186,0.25387,0.25918,0.24509
,,,,,,
2,0.6,0.1,0.24279,0.24726,0.25739,0.25256
,,,,,,
2,1,0.1,0.24262,0.24298,0.25819,0.25621
,,,,,,
2,0.2,0.4,0.21539,0.2732,0.28293,0.22848
,,,,,,
2,0.6,0.4,0.21771,0.24373,0.28332,0.25524
,,,,,,
2,1,0.4,0.21607,0.21936,0.28112,0.28345
,,,,,,
2,0.2,0.7,0.19386,0.28456,0.30826,0.21332
,,,,,,
2,0.6,0.7,0.19125,0.23884,0.30911,0.2608
,,,,,,
2,1,0.7,0.1927,0.19202,0.30868,0.3066
,,,,,,
3,0.2,0.1,0.24416,0.25359,0.25738,0.24487
,,,,,,
3,0.6,0.1,0.23867,0.24904,0.2586,0.25369
,,,,,,
3,1,0.1,0.24075,0.24097,0.26064,0.25764
,,,,,,
3,0.2,0.4,0.21793,0.2689,0.28131,0.23186
,,,,,,
3,0.6,0.4,0.21698,0.24541,0.28161,0.256
,,,,,,
3,1,0.4,0.21774,0.21527,0.28494,0.28205
,,,,,,
3,0.2,0.7,0.19267,0.28202,0.30857,0.21674
,,,,,,
3,0.6,0.7,0.19347,0.23639,0.30804,0.2621
,,,,,,
3,1,0.7,0.1915,0.19327,0.30843,0.3068
,,,,,,
4,0.2,0.1,0.23995,0.25563,0.25891,0.24551
,,,,,,
4,0.6,0.1,0.24376,0.24866,0.25778,0.2498
,,,,,,
4,1,0.1,0.24326,0.24192,0.25767,0.25715
,,,,,,
4,0.2,0.4,0.21589,0.27174,0.28527,0.2271
,,,,,,
4,0.6,0.4,0.21663,0.24386,0.28295,0.25656
,,,,,,
4,1,0.4,0.21393,0.21583,0.28527,0.28497
,,,,,,
4,0.2,0.7,0.19029,0.28465,0.31034,0.21472
,,,,,,
4,0.6,0.7,0.1887,0.2389,0.30991,0.26249
,,,,,,
4,1,0.7,0.19186,0.19122,0.31055,0.30637
,,,,,,
5,0.2,0.1,0.24196,0.25316,0.25956,0.24532
,,,,,,
5,0.6,0.1,0.24064,0.25084,0.2562,0.25232
,,,,,,
5,1,0.1,0.24393,0.24057,0.25898,0.25652
,,,,,,
5,0.2,0.4,0.21763,0.2709,0.28252,0.22895
,,,,,,
5,0.6,0.4,0.21774,0.24185,0.28408,0.25633
,,,,,,
5,1,0.4,0.21836,0.216,0.28393,0.28171
,,,,,,
5,0.2,0.7,0.19176,0.28392,0.30771,0.21661
,,,,,,
5,0.6,0.7,0.19394,0.23795,0.30406,0.26405
,,,,,,
5,1,0.7,0.19427,0.19128,0.30674,0.30771
,,,,,,
6,0.2,0.1,0.2413,0.25574,0.25698,0.24598
,,,,,,
6,0.6,0.1,0.24278,0.24935,0.25653,0.25134
,,,,,,
6,1,0.1,0.24197,0.24029,0.26063,0.25711
,,,,,,
6,0.2,0.4,0.21503,0.26905,0.28647,0.22945
,,,,,,
6,0.6,0.4,0.21655,0.24302,0.28273,0.2577
,,,,,,
6,1,0.4,0.21416,0.21892,0.28248,0.28444
,,,,,,
6,0.2,0.7,0.1903,0.28364,0.30982,0.21624
,,,,,,
6,0.6,0.7,0.19353,0.2339,0.31013,0.26244
,,,,,,
6,1,0.7,0.19178,0.19171,0.30675,0.30976
,,,,,,
7,0.2,0.1,0.2402,0.25563,0.25899,0.24518
,,,,,,
7,0.6,0.1,0.24491,0.24607,0.25687,0.25215
,,,,,,
7,1,0.1,0.24094,0.24189,0.2603,0.25687
,,,,,,
7,0.2,0.4,0.21699,0.27015,0.28312,0.22974
,,,,,,
7,0.6,0.4,0.21684,0.24501,0.28251,0.25564
,,,,,,
7,1,0.4,0.21672,0.2157,0.28507,0.28251
,,,,,,
7,0.2,0.7,0.19033,0.2862,0.3066,0.21687
,,,,,,
7,0.6,0.7,0.19218,0.23955,0.30846,0.25981
,,,,,,
7,1,0.7,0.19117,0.19296,0.30811,0.30776
,,,,,,
8,0.2,0.1,0.24469,0.25472,0.25667,0.24392
,,,,,,
8,0.6,0.1,0.24006,0.24662,0.26065,0.25267
,,,,,,
8,1,0.1,0.24161,0.24252,0.25865,0.25722
,,,,,,
8,0.2,0.4,0.21659,0.26848,0.28437,0.23056
,,,,,,
8,0.6,0.4,0.21616,0.24265,0.28555,0.25564
,,,,,,
8,1,0.4,0.21662,0.21799,0.28197,0.28342
,,,,,,
8,0.2,0.7,0.19169,0.28323,0.30784,0.21724
,,,,,,
8,0.6,0.7,0.18916,0.24045,0.30824,0.26215
,,,,,,
8,1,0.7,0.19125,0.19181,0.30801,0.30893
,,,,,,
9,0.2,0.1,0.24098,0.25405,0.25702,0.24795
,,,,,,
9,0.6,0.1,0.24034,0.25128,0.25912,0.24926
,,,,,,
9,1,0.1,0.24023,0.2411,0.25992,0.25875
,,,,,,
9,0.2,0.4,0.21445,0.27057,0.28442,0.23056
,,,,,,
9,0.6,0.4,0.21646,0.24278,0.28324,0.25752
,,,,,,
9,1,0.4,0.21797,0.21774,0.28333,0.28096
,,,,,,
9,0.2,0.7,0.19402,0.28334,0.31047,0.21217
,,,,,,
9,0.6,0.7,0.18967,0.23796,0.30926,0.26311
,,,,,,
9,1,0.7,0.19195,0.18905,0.30913,0.30987
,,,,,,
10,0.2,0.1,0.24204,0.25493,0.25656,0.24647
,,,,,,
10,0.6,0.1,0.23994,0.24902,0.25924,0.2518
,,,,,,
10,1,0.1,0.24152,0.24203,0.25872,0.25773
,,,,,,
10,0.2,0.4,0.21751,0.26864,0.28273,0.23112
,,,,,,
10,0.6,0.4,0.21659,0.24373,0.28295,0.25673
,,,,,,
10,1,0.4,0.21639,0.21574,0.28702,0.28085
,,,,,,
10,0.2,0.7,0.1923,0.28575,0.3062,0.21575
,,,,,,
10,0.6,0.7,0.19048,0.24058,0.30833,0.26061
,,,,,,
10,1,0.7,0.19453,0.19371,0.30698,0.30478
,,,,,,
11,0.2,0.1,0.24229,0.2538,0.25611,0.2478
,,,,,,
11,0.6,0.1,0.24003,0.24975,0.25531,0.25491
,,,,,,
11,1,0.1,0.24193,0.24187,0.25904,0.25716
,,,,,,
11,0.2,0.4,0.21749,0.27091,0.28402,0.22758
,,,,,,
11,0.6,0.4,0.2168,0.24283,0.28518,0.25519
,,,,,,
11,1,0.4,0.21792,0.21626,0.28175,0.28407
,,,,,,
11,0.2,0.7,0.19154,0.28434,0.30891,0.21521
,,,,,,
11,0.6,0.7,0.19044,0.23778,0.30659,0.26519
,,,,,,
11,1,0.7,0.19145,0.18973,0.309,0.30982
,,,,,,
12,0.2,0.1,0.24026,0.25549,0.25933,0.24492
,,,,,,
12,0.6,0.1,0.24254,0.24916,0.2584,0.2499
,,,,,,
12,1,0.1,0.2407,0.24046,0.25832,0.26052
,,,,,,
12,0.2,0.4,0.21417,0.27084,0.28442,0.23057
,,,,,,
12,0.6,0.4,0.21814,0.24406,0.28334,0.25446
,,,,,,
12,1,0.4,0.21694,0.21606,0.28211,0.28489
,,,,,,
12,0.2,0.7,0.19277,0.28671,0.30806,0.21246
,,,,,,
12,0.6,0.7,0.19234,0.23737,0.30906,0.26123
,,,,,,
12,1,0.7,0.19028,0.19239,0.30818,0.30915
,,,,,,
13,0.2,0.1,0.24065,0.2548,0.25888,0.24567
,,,,,,
13,0.6,0.1,0.24151,0.2494,0.25826,0.25083
,,,,,,
13,1,0.1,0.24198,0.24039,0.25925,0.25838
,,,,,,
13,0.2,0.4,0.21777,0.26858,0.28243,0.23122
,,,,,,
13,0.6,0.4,0.21516,0.2442,0.28282,0.25782
,,,,,,
13,1,0.4,0.21602,0.2163,0.28449,0.28319
,,,,,,
13,0.2,0.7,0.19111,0.28506,0.30701,0.21682
,,,,,,
13,0.6,0.7,0.19074,0.23844,0.31021,0.26061
,,,,,,
13,1,0.7,0.19156,0.18987,0.31006,0.30851
,,,,,,
14,0.2,0.1,0.24248,0.254,0.2583,0.24522
,,,,,,
14,0.6,0.1,0.2417,0.24941,0.25701,0.25188
,,,,,,
14,1,0.1,0.24129,0.24025,0.25924,0.25922
,,,,,,
14,0.2,0.4,0.21643,0.26734,0.28584,0.23039
,,,,,,
14,0.6,0.4,0.21625,0.24493,0.28064,0.25818
,,,,,,
14,1,0.4,0.21627,0.21784,0.28356,0.28233
,,,,,,
14,0.2,0.7,0.18894,0.28577,0.31196,0.21333
,,,,,,
14,0.6,0.7,0.19177,0.23707,0.30988,0.26128
,,,,,,
14,1,0.7,0.19138,0.19266,0.30906,0.3069
,,,,,,
15,0.2,0.1,0.24311,0.2552,0.25723,0.24446
,,,,,,
15,0.6,0.1,0.24015,0.24846,0.26151,0.24988
,,,,,,
15,1,0.1,0.2419,0.24107,0.25712,0.25991
,,,,,,
15,0.2,0.4,0.21419,0.27137,0.2843,0.23014
,,,,,,
15,0.6,0.4,0.21466,0.24397,0.28359,0.25778
,,,,,,
15,1,0.4,0.21551,0.21703,0.28331,0.28415
,,,,,,
15,0.2,0.7,0.19187,0.28545,0.30826,0.21442
,,,,,,
15,0.6,0.7,0.19245,0.23771,0.30977,0.26007
,,,,,,
15,1,0.7,0.1925,0.19107,0.30928,0.30715
,,,,,,
16,0.2,0.1,0.24121,0.25499,0.25965,0.24415
,,,,,,
16,0.6,0.1,0.24236,0.24901,0.25644,0.25219
,,,,,,
16,1,0.1,0.24284,0.24054,0.25731,0.25931
,,,,,,
16,0.2,0.4,0.21596,0.27235,0.2827,0.22899
,,,,,,
16,0.6,0.4,0.21681,0.24223,0.28481,0.25615
,,,,,,
16,1,0.4,0.21755,0.21718,0.28311,0.28216
,,,,,,
16,0.2,0.7,0.19166,0.28296,0.31016,0.21522
,,,,,,
16,0.6,0.7,0.19071,0.23923,0.30895,0.26111
,,,,,,
16,1,0.7,0.19351,0.1897,0.30617,0.31062
,,,,,,
17,0.2,0.1,0.24055,0.25463,0.25862,0.2462
,,,,,,
17,0.6,0.1,0.24107,0.24665,0.25958,0.2527
,,,,,,
17,1,0.1,0.24188,0.23963,0.25932,0.25917
,,,,,,
17,0.2,0.4,0.21631,0.27163,0.2835,0.22856
