dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
1,0.2,0.1,0.24721,0.24872,0.25072,0.25335
1,0.6,0.1,0.24892,0.25113,0.24817,0.25178
1,1,0.1,0.24818,0.25038,0.25198,0.24946
,,,,,,
1,0.2,0.4,0.25008,0.2511,0.24953,0.24929
,,,,,,
1,0.6,0.4,0.25142,0.24667,0.25141,0.2505
,,,,,,
1,1,0.4,0.25022,0.25027,0.25073,0.24878
,,,,,,
1,0.2,0.7,0.24988,0.2486,0.25211,0.24941
,,,,,,
1,0.6,0.7,0.24971,0.25277,0.25035,0.24717
,,,,,,
1,1,0.7,0.25017,0.25076,0.25001,0.24906
,,,,,,
2,0.2,0.1,0.24983,0.24931,0.25123,0.24963
,,,,,,
2,0.6,0.1,0.25083,0.24907,0.24945,0.25065
,,,,,,
2,1,0.1,0.25075,0.25094,0.25025,0.24806
,,,,,,
2,0.2,0.4,0.24872,0.2523,0.24943,0.24955
,,,,,,
2,0.6,0.4,0.2505,0.24993,0.24999,0.24958
,,,,,,
2,1,0.4,0.24839,0.2529,0.24824,0.25047
,,,,,,
2,0.2,0.7,0.2518,0.24972,0.24891,0.24957
,,,,,,
2,0.6,0.7,0.25094,0.24956,0.25075,0.24875
,,,,,,
2,1,0.7,0.25122,0.24792,0.25035,0.25051
,,,,,,
3,0.2,0.1,0.25316,0.24845,0.24953,0.24886
,,,,,,
3,0.6,0.1,0.24795,0.25054,0.25037,0.25114
,,,,,,
3,1,0.1,0.24896,0.24823,0.25198,0.25083
,,,,,,
3,0.2,0.4,0.25117,0.24936,0.24853,0.25094
,,,,,,
3,0.6,0.4,0.24833,0.2523,0.24899,0.25038
,,,,,,
3,1,0.4,0.25112,0.2487,0.25135,0.24883
,,,,,,
3,0.2,0.7,0.25213,0.24714,0.2497,0.25103
,,,,,,
3,0.6,0.7,0.25269,0.24834,0.24988,0.24909
,,,,,,
3,1,0.7,0.25049,0.24983,0.24926,0.25042
,,,,,,
